K_1	K_2	K_3	K_4	K_5	K_6	K_7	tot_K	S_1	S_2	S_3	S_4	S_5	S_6	S_7	prS_1	prS_2	prS_3	prS_4	prS_5	prS_6	prS_7	tot_S	D_1	D_2	D_3	D_4	D_5	D_6	D_7	Pi_1	Pi_2	Pi_3	Pi_4	Pi_5	Pi_6	Pi_7	
26	3	3	3	5	5	2	47	993	843	129	136	286	351	152	62	9	1	0	0	1	1	1039	1.01237	0	0	0	-0.671852	-0.180447	0	326.102	585.333	87	92.3333	125.2	164.5	152	
3	3	5	3	5	26	2	47	4	501	513	12	29	554	10	1	1	10	4	8	145	1	684	0	0	1.86743	0	-0.601108	3.25925	0	2.66667	335.667	306.4	8	12.8	263.742	10	
5	5	26	3	3	2	3	46	732	66	835	724	20	19	30	5	10	100	7	5	4	4	881	1.92257	-0.712272	-0.830972	0	0	0	0	439.7	28.7	169.434	486	13.3333	19	20	
2	3	5	3	26	3	5	47	133	231	301	129	1005	110	335	1	3	3	3	268	3	1	1032	0	0	-0.696587	0	2.66866	0	-0.427493	133	157.333	131.3	86.6667	439.12	75	151.8	
5	2	5	26	3	3	3	47	55	23	705	974	22	20	31	1	1	1	227	0	1	2	980	-1.05898	0	-1.1411	3.19012	0	0	0	22.7	23	287.9	458.874	14.6667	13.3333	20.6667	
26	3	3	5	2	5	3	47	1022	130	128	985	100	974	820	1	0	0	1	0	0	0	1041	3.06624	0	0	1.77467	0	1.76001	0	473.166	88	86	582.5	100	575.1	565.667	
3	5	2	26	3	3	5	47	172	351	133	1006	222	193	860	1	4	0	47	1	0	9	1039	0	-0.593028	0	3.10157	0	0	-0.125983	116.333	155.4	133	468.095	152	131.333	406	
2	5	26	3	3	5	3	47	71	191	900	89	97	801	95	1	4	126	1	1	69	0	1026	0	-0.913273	2.46033	0	0	1.96755	0	71	80.7	380.997	60.6667	65.3333	483.4	63.6667	
5	2	5	3	26	3	3	47	745	8	19	19	919	19	15	54	0	1	0	207	1	1	980	-1.14404	0	-0.987175	0	2.7882	0	0	304.1	8	7.9	12.6667	408.782	12.6667	10	
5	5	3	26	2	3	3	47	843	843	153	988	147	150	196	4	6	0	23	0	0	0	1039	-0.295599	2.06125	0	3.16193	0	0	0	389	513.7	103.667	463.637	147	101.333	134.667	
3	3	2	5	26	3	5	47	165	115	109	728	1023	177	294	1	0	0	2	121	2	1	1039	0	0	0	1.87886	3.19236	0	-0.617904	112.667	77.6667	109	435.3	482.083	121	129.7	
2	5	26	5	3	3	3	47	90	248	1027	855	139	151	131	1	1	71	5	0	1	0	1038	0	-0.682175	3.24316	-0.4137	0	0	0	90	108.4	487.385	388.2	94	104.333	88.3333	
2	3	5	5	26	3	3	47	33	51	549	76	853	31	25	1	5	80	5	348	2	1	971	0	0	-0.986863	-1.05593	3.41009	0	0	33	34.3333	229.5	31.4	414.234	20.6667	16.6667	
2	26	3	5	5	3	3	47	149	1031	231	397	855	218	276	0	57	0	0	1	0	0	1040	0	3.77293	0	-0.511608	0.0372702	0	0	149	525.071	158.667	177.8	412.4	148.667	190.667	
5	5	3	26	3	2	3	47	639	802	10	738	7	5	8	19	149	0	45	0	0	0	979	-1.17706	-0.162103	0	3.23246	0	0	0	259.5	376.8	6.66667	349.865	4.66667	5	5.33333	
3	5	3	2	26	5	3	47	164	854	195	158	993	928	226	0	0	0	0	8	4	0	1041	0	-0.0694037	0	0	3.32526	1.97734	0	111.333	406.2	132.667	158	476.609	560.6	154	
3	3	5	2	5	26	3	47	180	226	402	169	386	1015	265	0	1	5	0	2	145	2	1038	0	0	-0.137005	0	-0.287821	3.50069	0	122	154.333	189.5	169	178.3	498.825	183.333	
3	3	5	26	3	5	2	47	163	134	240	1033	136	974	94	0	0	0	18	0	3	0	1040	0	0	-0.788315	3.51893	0	1.72729	0	111.667	91.3333	103.3	508.895	93	573.1	94	
26	2	3	3	5	5	3	47	1032	129	195	158	368	365	267	191	0	0	1	2	0	0	1040	3.462	0	0	0	-0.628828	-0.60608	0	504.554	129	132.333	107.667	162.1	161.3	180	
26	5	3	3	5	2	3	47	1035	997	237	287	411	153	224	8	1	0	0	0	0	0	1041	3.96782	2.0928	0	0	-0.514352	0	0	540.323	609.5	163	200	184	153	151	
3	3	26	3	5	2	5	47	139	179	978	121	876	776	286	1	1	24	0	4	3	0	1039	0	0	3.32916	0	1.91928	0	-0.749715	94.3333	121.667	469.668	81.3333	526	776	123.8	
2	5	3	5	3	26	3	47	121	276	156	794	144	989	155	3	5	1	16	1	85	0	1037	0	-0.603928	0	2.00815	0	3.25714	0	121	122	106	481.2	97.6667	470.277	106	
3	3	2	3	26	5	5	47	30	27	19	673	832	690	753	0	1	1	0	58	2	39	1015	0	0	0	0	3.5093	-1.12432	1.9329	20	18	19	451	409.462	282.5	452.8	
5	2	3	3	3	5	26	47	77	22	37	23	27	798	858	4	0	2	2	0	113	170	1004	-1.16135	0	0	0	0	1.98572	3.47102	31.3	22	24.6667	15.3333	18.3333	482.5	420.086	
3	2	26	5	3	3	5	47	188	776	993	300	140	146	307	1	11	88	1	2	0	1	1037	0	0	3.32412	-0.758295	0	0	-0.567962	128	776	476.535	129.7	94	99	136.4	
3	2	5	3	26	5	3	47	111	83	975	163	1020	237	137	0	0	8	0	32	1	0	1041	0	0	1.73729	0	3.00969	-0.741915	0	74.6667	83	574.3	111.333	468.462	102.7	91.6667	
5	5	3	26	3	3	2	47	443	320	416	900	26	19	18	4	32	3	276	0	1	0	943	-1.16224	1.53637	0	3.19286	0	0	0	180.3	184.5	279	424.212	17.3333	12.6667	18	
3	26	2	3	5	5	3	47	186	1015	143	183	345	840	232	1	64	0	2	0	3	2	1040	0	3.79338	0	0	-0.553504	-0.13467	0	127.333	518.292	143	125	153.6	396.1	158	
3	3	3	5	5	26	2	47	166	166	205	303	991	1004	128	0	0	1	0	10	14	0	1041	0	0	0	-0.668899	1.76104	3.07983	0	113.333	112	140	132.7	585.2	465.735	128	
26	2	3	3	3	5	5	47	1035	136	229	179	179	863	327	55	0	0	1	0	1	0	1041	3.6584	0	0	0	0	2.06706	-0.577093	519.338	136	157.667	123.333	120.667	526.2	145.1	
2	3	26	3	5	3	5	47	159	184	1009	251	398	208	857	0	0	40	0	1	0	9	1039	0	0	3.38324	0	-0.469531	0	0.0118987	159	127	488.114	171	179.3	142.667	412	
3	26	5	2	5	3	3	47	26	972	50	19	377	29	27	1	530	2	0	25	1	1	1006	0	3.098	-1.19483	0	1.64396	0	0	17.6667	452.065	20.2	19	219.9	20	18	
3	26	3	5	2	3	5	47	167	984	176	323	136	191	870	0	72	1	0	0	0	23	1040	0	2.97805	0	-0.519201	0	0	-0.0934019	116.333	449.905	119.333	144.5	136	130	412.5	
3	2	3	26	3	5	5	47	146	110	160	1023	129	872	275	1	0	0	70	0	7	1	1041	0	0	0	4.20107	0	1.97412	-0.641977	98.3333	110	108.667	549.702	86.3333	526.6	120.9	
5	5	26	3	2	3	3	47	201	835	1009	81	75	115	100	1	19	106	0	0	1	0	1039	-0.852188	-0.566708	2.99369	0	0	0	0	85.7	371.1	462.357	55	75	77.6667	67	
5	2	26	3	5	3	3	47	122	44	1037	85	172	120	88	0	0	571	0	2	0	0	1040	-1.09932	0	4.05074	0	-0.882636	0	0	50.1	44	547	57.6667	73	80	60	
26	3	5	5	3	3	2	47	905	49	87	100	81	44	34	625	4	7	5	3	3	4	942	0.911719	0	-0.956231	-0.759973	0	0	0	291.246	32.6667	36.5	43.2	54.3333	29.3333	34	
5	3	3	26	3	5	2	47	98	70	124	1032	94	190	40	1	0	1	566	1	2	0	1038	-1.02413	0	0	0.785668	0	-0.401338	0	40.7	47	83	323.572	63.3333	86.4	40	
3	3	5	5	26	2	3	47	145	138	234	311	1031	71	167	0	0	1	2	327	0	1	1038	0	0	-0.891351	-0.42869	2.40161	0	0	99	93.6667	99.2	140.9	432.428	71	111.667	
3	3	5	3	5	26	2	47	70	93	90	70	139	1019	776	3	0	2	0	1	152	2	1028	0	0	-1.05469	0	-0.80121	-0.651615	0	46.6667	62.6667	37.2	46.6667	59.7	223.526	776	
3	2	5	3	26	3	5	47	125	105	298	146	1025	188	240	0	1	2	1	325	0	3	1034	0	0	-0.322431	0	3.71452	0	-0.847935	85.6667	105	137	101	518.095	128	102.4	
2	5	26	3	3	5	3	47	13	39	990	42	38	29	25	0	2	825	5	1	1	3	1003	0	-1.13232	-0.308746	0	0	-1.13781	0	13	15.9	239.406	28.3333	25.3333	11.8	16.6667	
26	2	5	3	3	3	5	47	935	26	109	71	47	55	93	622	3	4	4	4	8	4	966	-0.974844	0	-1.00575	0	0	0	-0.466222	185.283	26	45.4	47.3333	31.3333	37	41.9	
5	5	3	26	3	3	2	47	193	226	149	1041	124	141	78	0	0	0	406	0	0	0	1041	-0.307867	-0.870755	0	4.11426	0	0	0	88.9	96.1	101.667	553.44	83.3333	95.6667	78	
26	3	3	3	2	5	5	47	983	148	190	118	65	238	271	353	5	4	2	2	5	4	1016	1.12752	0	0	0	0	-0.623911	-0.491798	330.237	99	129.667	79	65	104.9	121.7	
2	5	3	3	3	5	26	47	66	288	208	125	143	306	1040	0	0	1	0	0	0	326	1041	0	-0.366738	0	0	0	-0.368091	2.36374	66	131.6	143.333	85	96.3333	139.8	433.618	
5	3	3	3	2	26	5	47	21	7	15	19	11	1014	25	0	0	0	1	1	926	1	1017	-1.23407	0	0	0	0	2.76874	-0.744277	8.4	4.66667	10	12.6667	11	449.698	10.8	
5	5	26	2	3	3	3	47	206	299	1028	76	212	165	139	1	2	331	0	0	4	0	1036	-0.731293	-0.714005	0.311597	0	0	0	0	89.4	130.1	290.385	76	145	111	94.3333	
2	3	3	5	26	5	3	47	11	15	18	21	548	30	13	6	3	9	9	489	10	4	591	0	0	0	-1.08716	-0.934364	-1.03845	0	11	10	12	8.6	109.985	12.4	8.66667	
